cols,mode,mean_adv_vs_quantum_train,median_adv_vs_quantum_train,sign_test_p_vs_quantum_train,cand_train_mean_switch_gain,quantum_train_mean_switch_gain,n_sessions
"('h', 'deps')",mean,-0.20033382514028997,-0.23673158629422508,0.998291015625,0.4215691102368914,0.6219029353771813,13
"('h', 'a', 'dh', 'dpsi')",mean,-0.21244623142082986,-0.2316142167050761,0.9998779296875,0.4094567039563515,0.6219029353771813,13
"('h', 'a', 'deps', 'dpsi')",mean,-0.21244623142082986,-0.2316142167050761,0.9998779296875,0.4094567039563515,0.6219029353771813,13
"('a', 'da', 'dpsi')",mean,-0.21286104683733717,-0.22676661809424026,0.998291015625,0.4090418885398442,0.6219029353771813,13
"('h', 'a', 'dh', 'da')",mean,-0.23257016637246364,-0.29305335457945236,1.0,0.38933276900471764,0.6219029353771813,13
"('h', 'a', 'da', 'deps')",mean,-0.23257016637246364,-0.29305335457945236,1.0,0.38933276900471764,0.6219029353771813,13
"('a', 'dh')",pca,-0.23951388386804892,-0.2835700713715795,0.998291015625,0.38238905150913244,0.6219029353771813,13
"('a', 'dh')",mean,-0.23951388386804892,-0.2835700713715795,0.998291015625,0.38238905150913244,0.6219029353771813,13
"('a', 'deps')",pca,-0.23951388386804892,-0.2835700713715795,0.998291015625,0.38238905150913244,0.6219029353771813,13
"('a', 'deps')",mean,-0.23951388386804892,-0.2835700713715795,0.998291015625,0.38238905150913244,0.6219029353771813,13
"('h', 'a', 'dh', 'da')",pca,-0.24119231174853603,-0.26837702690267706,1.0,0.38071062362864533,0.6219029353771813,13
"('h', 'a', 'da', 'deps')",pca,-0.24119231174853603,-0.26837702690267706,1.0,0.38071062362864533,0.6219029353771813,13
"('h', 'a', 'da', 'dpsi')",weighted,-0.24791427857937956,-0.26765362490217215,0.9998779296875,0.3739886567978019,0.6219029353771813,13
"('h', 'a', 'da', 'dpsi')",mean,-0.2681437438412082,-0.28371368172648304,0.9998779296875,0.35375919153597307,0.6219029353771813,13
"('h', 'dpsi')",mean,-0.27044410290760135,-0.26471878107862856,0.9998779296875,0.35145883246958004,0.6219029353771813,13
"('h', 'da')",pca,-0.2733691084196415,-0.26830876423529626,0.9998779296875,0.34853382695753976,0.6219029353771813,13
"('h', 'da')",mean,-0.2733691084196415,-0.26830876423529626,0.9998779296875,0.34853382695753976,0.6219029353771813,13
"('h', 'a', 'da')",weighted,-0.29028213498007005,-0.2950587302423031,0.9998779296875,0.33162080039711134,0.6219029353771813,13
"('h', 'dpsi')",pca,-0.3049718371248527,-0.3377005230559984,0.9998779296875,0.3169310982523287,0.6219029353771813,13
"('a', 'da')",pca,-0.3094276252569762,-0.35765638470077843,0.9998779296875,0.31247531012020513,0.6219029353771813,13
"('a', 'da')",mean,-0.3094276252569762,-0.35765638470077843,0.9998779296875,0.31247531012020513,0.6219029353771813,13
"('h', 'a', 'dh')",weighted,-0.31242498297040644,-0.3899845873203803,1.0,0.30947795240677495,0.6219029353771813,13
"('h', 'a', 'deps')",weighted,-0.31242498297040644,-0.3899845873203803,1.0,0.30947795240677495,0.6219029353771813,13
"('a', 'dpsi')",mean,-0.3221937815015222,-0.35418955957252385,1.0,0.2997091538756591,0.6219029353771813,13
"('h', 'a', 'dpsi')",weighted,-0.3335873594668656,-0.35145485272009414,1.0,0.2883155759103158,0.6219029353771813,13
"('h', 'a', 'dh', 'dpsi')",pca,-0.37410478475631204,-0.39636986507179606,0.9998779296875,0.24779815062086935,0.6219029353771813,13
"('h', 'a', 'deps', 'dpsi')",pca,-0.37410478475631204,-0.39636986507179606,0.9998779296875,0.24779815062086935,0.6219029353771813,13
"('a', 'dpsi')",pca,-0.38648282124054734,-0.39199720809797456,1.0,0.23542011413663394,0.6219029353771813,13
"('h', 'a', 'dh')",mean,-0.4238179043194134,-0.44785065266490787,1.0,0.19808503105776792,0.6219029353771813,13
"('h', 'a', 'deps')",mean,-0.4238179043194134,-0.44785065266490787,1.0,0.19808503105776792,0.6219029353771813,13
"('h', 'a', 'da')",mean,-0.4446243162251923,-0.5028227463181616,1.0,0.17727861915198903,0.6219029353771813,13
"('h', 'a', 'da', 'dpsi')",pca,-0.4484697664492175,-0.49268566913839174,1.0,0.17343316892796384,0.6219029353771813,13
"('h', 'a', 'dpsi')",mean,-0.5121761141630415,-0.5448009108469619,1.0,0.10972682121413982,0.6219029353771813,13
"('h', 'a', 'da')",pca,-0.5656171640577109,-0.6148882085586469,1.0,0.05628577131947041,0.6219029353771813,13
"('h', 'a', 'dh')",pca,-0.5908134186431899,-0.6177587156069124,1.0,0.03108951673399146,0.6219029353771813,13
"('h', 'a', 'deps')",pca,-0.5908134186431899,-0.6177587156069124,1.0,0.03108951673399146,0.6219029353771813,13
"('h', 'a')",pca,-0.6956970339334559,-0.7508702729666727,1.0,-0.07379409855627463,0.6219029353771813,13
"('h', 'a')",mean,-0.6956970339334559,-0.7508702729666727,1.0,-0.07379409855627463,0.6219029353771813,13
"('h', 'a', 'dpsi')",pca,-0.7019096505201191,-0.7604686557740223,1.0,-0.08000671514293788,0.6219029353771813,13
"('h', 'a')",weighted,-0.7078767892504791,-0.7541151218473876,1.0,-0.08597385387329778,0.6219029353771813,13
