task,phi_t,dphi_t,E_t,Q_t,E_tm1,Q_tm1,dE_t,dQ_t,E_true,Q_true,E_pred,Q_pred,Q_raw_pred,Q_sign_prob_positive,p_surprise,state_pred,label
10,-0.3938459921956311,-0.9370446558636388,-6.908083686705839,-0.0150096769866465,-8.14630490179207,-0.0082568353635846,1.23822121508623,-0.0067528416230619,-9.424658466306315,-0.006315046351627,-7.060925262651223,-0.03482516588501289,-0.03482516588501289,0.38718332207693,0.6586411208326566,Surprise,P19
12,0.4975676259116478,0.5095671317502645,-9.424658466306315,-0.006315046351627,-6.908083686705839,-0.0150096769866465,-2.516574779600476,0.0086946306350195,-7.391874566720967,-0.0080606421361915,-7.417835596394095,-0.03509177146688443,-0.03509177146688443,0.3855253089580231,0.7461973780899529,Surprise,P19
14,0.9504115475091288,0.4464349390483131,-7.391874566720967,-0.0080606421361915,-9.424658466306315,-0.006315046351627,2.0327838995853487,-0.001745595784564501,-6.226178894702424,-0.0139200489385366,-7.184931389475461,-0.03475531860272077,-0.03475531860272077,0.3859617070631333,0.9084056342858601,Surprise,P19
16,-0.2081099235620796,0.8597452396406149,-6.226178894702424,-0.0139200489385366,-7.391874566720967,-0.0080606421361915,1.1656956720185425,-0.005859406802345099,-9.683649106697784,-0.0170340854167393,-7.756417044131247,-0.00760629055076012,-0.02023380732631308,0.548751002136027,0.24370955858798826,CoCreation,P19
17,1.4729428198811871,-0.1202371037130065,-9.683649106697784,-0.0170340854167393,-6.226178894702424,-0.0139200489385366,-3.4574702119953598,-0.0031140364782027002,-6.585792146484149,-0.0086050430420882,-7.434311961918415,-0.0350420328830916,-0.0350420328830916,0.38746731006448015,0.9868399348702809,Surprise,P19
18,-0.1532705470505471,-1.6262133669317342,-6.585792146484149,-0.0086050430420882,-9.683649106697784,-0.0170340854167393,3.097856960213635,0.0084290423746511,-6.655045708227437,-0.0119536808692249,-7.065582366257836,-0.035168164355562144,-0.035168164355562144,0.38590798498831413,0.8934369461866271,Surprise,P19
22,0.9914935625055415,1.1447641095560883,-6.655045708227437,-0.0119536808692249,-6.585792146484149,-0.0086050430420882,-0.06925356174328812,-0.003348637827136699,-7.167653935548664,-0.0090728791110642,-6.963485697642613,-0.034840794156590145,-0.034840794156590145,0.38662890891245005,0.8206382614109251,Surprise,P19
24,-0.3938457376152121,-0.4488644848076,-7.167653935548664,-0.0090728791110642,-6.655045708227437,-0.0119536808692249,-0.5126082273212269,0.0028808017581606997,-9.119345575319157,-0.0069440403925497,-7.047928926627731,-0.034971968094003825,-0.034971968094003825,0.38606384757456264,0.5110808782780891,Surprise,P19
10,-0.2485023299814101,-0.8661584852159341,-8.400464184465125,-0.0063749459065658,-8.570136017579753,-0.0070119284332139,0.1696718331146272,0.0006369825266481005,-7.432594995403991,-0.0006387475927984,-7.287485231344223,-0.03661078594582489,-0.03661078594582489,0.3589327582466972,0.679142122363849,Surprise,P2
12,0.2264249213504709,0.4749272513318811,-7.432594995403991,-0.0006387475927984,-8.400464184465125,-0.0063749459065658,0.9678691890611342,0.0057361983137674,-7.500163953114042,-0.002449799627623,-7.143656245584889,-0.03659418420028443,-0.03659418420028443,0.3579351680357685,0.5834445859253473,Surprise,P2
