test_label,state,n,E_a1,E_a2,E_a3,E_b,Q_c1,Q_c2,Q_c3,Q_d,Q_sign_acc_train
P2,Surprise,47,0.09846883711964792,0.047847751779409094,0.05062108534023885,-6.058828523293691,0.010950014397997795,0.022868861602662476,-0.011918847204664683,-0.03637303327804744,0.6382978723404256
P20,CoCreation,30,-0.04669956132546214,-0.07069586202944209,0.02399630070397997,-8.756968977342167,-0.002112230551351405,-9.024265779337768e-05,-0.002021987893558033,-0.020536058843326013,0.6
P20,Surprise,48,0.12234540187772566,0.0744819025796282,0.047863499298097356,-5.667210781327597,0.01222275669406595,0.024203228983548212,-0.011980472289482272,-0.035335928490923735,0.6458333333333334
P21,CoCreation,31,-0.015613086090748757,-0.05908241707347101,0.04346933098272228,-8.54506370769171,-0.0013851460509961395,-0.0003389902522601804,-0.0010461557987359598,-0.01924245391090489,0.5161290322580645
P21,Surprise,49,0.11574013590740362,0.06749310929241124,0.048247026614992264,-5.757353147237906,0.012700188076732883,0.026095126722565896,-0.013394938645833023,-0.03441360101360973,0.6326530612244898
P22,CoCreation,31,-0.001970512828929157,-0.04300901281538614,0.04103849998645697,-8.315355681111468,-0.00195308438344923,-0.0011773866649057922,-0.0007756977185434337,-0.018128775088611562,0.5161290322580645
P22,Surprise,48,0.12327908961856543,0.07316387574537851,0.05011521387318686,-5.648921492294812,0.01178671454168715,0.02379759431993226,-0.012010879778245127,-0.031996077479617156,0.6041666666666666
P23,CoCreation,32,-0.0023790927280967805,-0.04906743941612054,0.04668834668802377,-8.34264578839273,-0.0014721590546575513,-0.00022181456918143687,-0.001250344485476107,-0.019500005246997573,0.59375
P23,Surprise,49,0.11525879834946101,0.0641831734141179,0.051075624935343074,-5.772654581869022,0.012127892737632423,0.025061825327179023,-0.012933932589546596,-0.03473025089994465,0.6122448979591837
P24,CoCreation,30,0.004339643255880831,-0.09776752226711036,0.10210716552299122,-8.652597217378801,-0.002611872883570404,-0.0003670513973704859,-0.0022448214861999177,-0.020827960018596606,0.6
P24,Surprise,49,0.11528264195565457,0.055724325622381464,0.059558316333273076,-5.835400824176478,0.012012303613889674,0.024873379673732644,-0.012861076059842956,-0.03481965400637283,0.6122448979591837
P25,CoCreation,31,-0.013464265695230458,-0.04795021228944514,0.03448594659421469,-8.39966778005272,-0.001913038097439769,-0.0003226861677662358,-0.0015903519296735283,-0.02003272913551255,0.5161290322580645
P25,Surprise,50,0.1158503147225394,0.06480730364756981,0.05104301107496958,-5.767442604478169,0.01262399963274463,0.026106830907153,-0.01348283127440838,-0.03406180820760896,0.62
P26,CoCreation,31,-0.03186675948767317,-0.07612321885093419,0.044256459363260996,-8.809313828957134,-0.0020327166814547394,-0.0003589559546654387,-0.001673760726789304,-0.020155759726627687,0.5806451612903226
P26,Surprise,48,0.09099538573758637,0.04566118570344974,0.04533420003413659,-6.175499664261682,0.01138614491322968,0.02376646355218567,-0.012380318638955995,-0.035587264572809175,0.6041666666666666
P3,CoCreation,31,-0.002458338282599421,-0.036458662768089886,0.034000324485490466,-8.288012722039216,-0.001950357807563163,-0.0003406453449645845,-0.0016097124625985774,-0.02005282689708975,0.5161290322580645
P3,Surprise,47,0.1133208543719632,0.06802218372480472,0.04529867064715847,-5.774108689494767,0.01087449369868826,0.022577887046797893,-0.01170339334810963,-0.03629907402652341,0.6170212765957447
P4,CoCreation,30,0.010070481637377731,-0.07679135063986393,0.08686183227724166,-8.571048156922773,-0.001450249509757911,-0.00029792466005687084,-0.0011523248497010354,-0.019459706291792576,0.6
P4,Surprise,47,0.14253571837629692,0.06180800833025834,0.08072771004603861,-5.520573811098167,0.012614798202695638,0.02587740407832778,-0.013262605875632152,-0.03445634829355279,0.6170212765957447
P5,CoCreation,31,0.015103671729594875,-0.01813045890668875,0.03323413063628364,-7.987419509558822,-0.0018900764337186184,-0.0003198457378599813,-0.0015702306958586365,-0.02013019968643951,0.5806451612903226
P5,Surprise,49,0.11501247659599223,0.06433350820851785,0.05067896838747433,-5.777228295085285,0.012175011977140675,0.025239499175339988,-0.01306448719819932,-0.03464705002102476,0.6122448979591837
P6,CoCreation,31,0.03218111859976439,0.008007768019975922,0.02417335057978846,-7.675068334723573,-0.0019315458471588856,-0.00031766921258459107,-0.0016138766345742935,-0.020022906870543245,0.5161290322580645
P6,Surprise,50,0.1158503147225394,0.06480730364756981,0.05104301107496958,-5.767442604478169,0.01262399963274463,0.026106830907153,-0.01348283127440838,-0.03406180820760896,0.62
P7,CoCreation,29,-0.06407812331752483,-0.0956871054875597,0.03160898217003484,-9.13598226266972,-0.0018585193648037101,-0.000994870208953401,-0.0008636491558503092,-0.018482676378276705,0.5172413793103449
P7,Surprise,47,0.12474440071660732,0.08523353796435916,0.039510862752248105,-5.5394558323276675,0.013270637511171229,0.02733866447506425,-0.014068026963893015,-0.03436898450349035,0.6170212765957447
P8,CoCreation,31,-0.02347926381923764,-0.07927057119077419,0.05579130737153655,-8.822618192328651,-0.0014768855437796793,-0.00011522900913062729,-0.001361656534649049,-0.019713157368542605,0.5806451612903226
P8,Surprise,48,0.1439091493139592,0.08743805310477817,0.05647109620918098,-5.321581011462925,0.012381322296893501,0.025514548482274784,-0.013133226185381283,-0.034864688100570196,0.6041666666666666
P9,CoCreation,31,-0.04487533364621834,-0.087519731675268,0.04264439802904965,-9.051424473659138,-0.0015151092376751573,-0.0002941209032316366,-0.0012209883344435196,-0.019421281275079413,0.5806451612903226
P9,Surprise,48,0.09977202958581353,0.04832830896410572,0.0514437206217078,-6.044366538294245,0.012459942082326972,0.02617185206381285,-0.013711909981485877,-0.033720233720745105,0.6041666666666666
